ba,v,f,basp_code
L,1,1,LV1F1
L,1,2,LV1F2
L,1,3,LV1F3
L,2,1,LV2F1
L,2,2,LV2F2
L,2,3,LV2F3
L,3,1,LV3F1
L,3,2,LV3F2
L,3,3,LV3F3
M0,1,1,M0V1F1
M0,1,2,M0V1F2
M0,1,3,M0V1F3
M0,2,1,M0V2F1
M0,2,2,M0V2F2
M0,2,3,M0V2F3
M0,3,1,M0V3F1
M0,3,2,M0V3F2
M0,3,3,M0V3F3
M1,1,1,M1V1F1
M1,1,2,M1V1F2
M1,1,3,M1V1F3
M1,2,1,M1V2F1
M1,2,2,M1V2F2
M1,2,3,M1V2F3
M1,3,1,M1V3F1
M1,3,2,M1V3F2
M1,3,3,M1V3F3
M2,1,1,M2V1F1
M2,1,2,M2V1F2
M2,1,3,M2V1F3
M2,2,1,M2V2F1
M2,2,2,M2V2F2
M2,2,3,M2V2F3
M2,3,1,M2V3F1
M2,3,2,M2V3F2
M2,3,3,M2V3F3
M3,1,1,M3V1F1
M3,1,2,M3V1F2
M3,1,3,M3V1F3
M3,2,1,M3V2F1
M3,2,2,M3V2F2
M3,2,3,M3V2F3
M3,3,1,M3V3F1
M3,3,2,M3V3F2
M3,3,3,M3V3F3
C0,1,1,C0V1F1
C0,1,2,C0V1F2
C0,1,3,C0V1F3
C0,2,1,C0V2F1
C0,2,2,C0V2F2
C0,2,3,C0V2F3
C0,3,1,C0V3F1
C0,3,2,C0V3F2
C0,3,3,C0V3F3
C1,1,1,C1V1F1
C1,1,2,C1V1F2
C1,1,3,C1V1F3
C1,2,1,C1V2F1
C1,2,2,C1V2F2
C1,2,3,C1V2F3
C1,3,1,C1V3F1
C1,3,2,C1V3F2
C1,3,3,C1V3F3
C2,1,1,C2V1F1
C2,1,2,C2V1F2
C2,1,3,C2V1F3
C2,2,1,C2V2F1
C2,2,2,C2V2F2
C2,2,3,C2V2F3
C2,3,1,C2V3F1
C2,3,2,C2V3F2
C2,3,3,C2V3F3
C3,1,1,C3V1F1
C3,1,2,C3V1F2
C3,1,3,C3V1F3
C3,2,1,C3V2F1
C3,2,2,C3V2F2
C3,2,3,C3V2F3
C3,3,1,C3V3F1
C3,3,2,C3V3F2
C3,3,3,C3V3F3
U1,1,1,U1V1F1
U1,1,2,U1V1F2
U1,1,3,U1V1F3
U1,2,1,U1V2F1
U1,2,2,U1V2F2
U1,2,3,U1V2F3
U1,3,1,U1V3F1
U1,3,2,U1V3F2
U1,3,3,U1V3F3
U2,1,1,U2V1F1
U2,1,2,U2V1F2
U2,1,3,U2V1F3
U2,2,1,U2V2F1
U2,2,2,U2V2F2
U2,2,3,U2V2F3
U2,3,1,U2V3F1
U2,3,2,U2V3F2
U2,3,3,U2V3F3
U3,1,1,U3V1F1
U3,1,2,U3V1F2
U3,1,3,U3V1F3
U3,2,1,U3V2F1
U3,2,2,U3V2F2
U3,2,3,U3V2F3
U3,3,1,U3V3F1
U3,3,2,U3V3F2
U3,3,3,U3V3F3
